name,slug,price,old_price,description,stock,image,created_at,updated_at,sub_category_id
Shirt 1,shirt-1,2361,2780,High quality shirt for daily use.,39,images/shirt-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 2,shirt-2,1951,2522,High quality shirt for daily use.,88,images/shirt-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 3,shirt-3,4792,5562,High quality shirt for daily use.,36,images/shirt-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 4,shirt-4,2825,3051,High quality shirt for daily use.,58,images/shirt-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 5,shirt-5,4079,4531,High quality shirt for daily use.,14,images/shirt-5.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 6,shirt-6,1986,2485,High quality shirt for daily use.,16,images/shirt-6.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 7,shirt-7,1070,1655,High quality shirt for daily use.,85,images/shirt-7.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 8,shirt-8,4404,4936,High quality shirt for daily use.,15,images/shirt-8.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 9,shirt-9,3718,4454,High quality shirt for daily use.,27,images/shirt-9.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Shirt 10,shirt-10,4057,4521,High quality shirt for daily use.,77,images/shirt-10.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 1,jeans-1,3051,3752,High quality jeans for daily use.,95,images/jeans-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 2,jeans-2,1668,2076,High quality jeans for daily use.,90,images/jeans-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 3,jeans-3,3873,4392,High quality jeans for daily use.,72,images/jeans-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 4,jeans-4,2457,2969,High quality jeans for daily use.,58,images/jeans-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 5,jeans-5,2466,3121,High quality jeans for daily use.,70,images/jeans-5.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 6,jeans-6,2519,3072,High quality jeans for daily use.,57,images/jeans-6.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 7,jeans-7,4939,5695,High quality jeans for daily use.,82,images/jeans-7.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 8,jeans-8,1084,1841,High quality jeans for daily use.,46,images/jeans-8.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 9,jeans-9,3132,3545,High quality jeans for daily use.,41,images/jeans-9.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Jeans 10,jeans-10,3964,4340,High quality jeans for daily use.,45,images/jeans-10.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 1,suit-1,4522,5077,High quality suit for daily use.,58,images/suit-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 2,suit-2,1002,1600,High quality suit for daily use.,72,images/suit-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 3,suit-3,3634,4100,High quality suit for daily use.,43,images/suit-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 4,suit-4,2155,2623,High quality suit for daily use.,90,images/suit-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 5,suit-5,1598,2256,High quality suit for daily use.,50,images/suit-5.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 6,suit-6,4917,5711,High quality suit for daily use.,51,images/suit-6.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 7,suit-7,4093,4311,High quality suit for daily use.,52,images/suit-7.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 8,suit-8,4752,5239,High quality suit for daily use.,82,images/suit-8.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 9,suit-9,4407,4791,High quality suit for daily use.,14,images/suit-9.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Suit 10,suit-10,3985,4535,High quality suit for daily use.,21,images/suit-10.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,1
Dress 1,dress-1,2898,3639,High quality dress for daily use.,12,images/dress-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Dress 2,dress-2,2862,3145,High quality dress for daily use.,21,images/dress-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Dress 3,dress-3,2028,2713,High quality dress for daily use.,29,images/dress-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Dress 4,dress-4,2696,3348,High quality dress for daily use.,39,images/dress-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Dress 5,dress-5,4874,5313,High quality dress for daily use.,71,images/dress-5.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Dress 6,dress-6,1227,1831,High quality dress for daily use.,59,images/dress-6.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Dress 7,dress-7,1459,2080,High quality dress for daily use.,74,images/dress-7.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Dress 8,dress-8,1790,2392,High quality dress for daily use.,23,images/dress-8.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Dress 9,dress-9,4863,5579,High quality dress for daily use.,96,images/dress-9.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Dress 10,dress-10,4422,4658,High quality dress for daily use.,82,images/dress-10.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Top 1,top-1,1038,1308,High quality top for daily use.,96,images/top-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Top 2,top-2,3458,4241,High quality top for daily use.,44,images/top-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Top 3,top-3,4061,4802,High quality top for daily use.,62,images/top-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Top 4,top-4,2793,3443,High quality top for daily use.,41,images/top-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Top 5,top-5,4886,5323,High quality top for daily use.,57,images/top-5.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Top 6,top-6,3774,4381,High quality top for daily use.,83,images/top-6.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Top 7,top-7,2756,3477,High quality top for daily use.,60,images/top-7.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Top 8,top-8,4956,5679,High quality top for daily use.,30,images/top-8.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Top 9,top-9,1519,2111,High quality top for daily use.,78,images/top-9.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Top 10,top-10,4843,5332,High quality top for daily use.,80,images/top-10.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Skirt 1,skirt-1,3264,3725,High quality skirt for daily use.,81,images/skirt-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Skirt 2,skirt-2,4804,5262,High quality skirt for daily use.,70,images/skirt-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Skirt 3,skirt-3,4685,4886,High quality skirt for daily use.,99,images/skirt-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Skirt 4,skirt-4,3781,4030,High quality skirt for daily use.,75,images/skirt-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Skirt 5,skirt-5,2656,3294,High quality skirt for daily use.,14,images/skirt-5.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Skirt 6,skirt-6,4869,5360,High quality skirt for daily use.,70,images/skirt-6.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Skirt 7,skirt-7,2457,3071,High quality skirt for daily use.,55,images/skirt-7.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Skirt 8,skirt-8,4480,5128,High quality skirt for daily use.,14,images/skirt-8.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Skirt 9,skirt-9,1216,1447,High quality skirt for daily use.,82,images/skirt-9.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Skirt 10,skirt-10,3996,4199,High quality skirt for daily use.,42,images/skirt-10.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,2
Sneakers 1,sneakers-1,3534,3803,High quality sneakers for daily use.,63,images/sneakers-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sneakers 2,sneakers-2,1792,2494,High quality sneakers for daily use.,25,images/sneakers-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sneakers 3,sneakers-3,1491,2253,High quality sneakers for daily use.,41,images/sneakers-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sneakers 4,sneakers-4,4202,4851,High quality sneakers for daily use.,54,images/sneakers-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sneakers 5,sneakers-5,4770,5381,High quality sneakers for daily use.,70,images/sneakers-5.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sneakers 6,sneakers-6,1437,2046,High quality sneakers for daily use.,48,images/sneakers-6.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sneakers 7,sneakers-7,3293,3586,High quality sneakers for daily use.,25,images/sneakers-7.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sneakers 8,sneakers-8,4038,4428,High quality sneakers for daily use.,86,images/sneakers-8.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sneakers 9,sneakers-9,4056,4420,High quality sneakers for daily use.,73,images/sneakers-9.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sneakers 10,sneakers-10,4915,5313,High quality sneakers for daily use.,35,images/sneakers-10.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sandals 1,sandals-1,1692,2243,High quality sandals for daily use.,99,images/sandals-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sandals 2,sandals-2,2708,3022,High quality sandals for daily use.,23,images/sandals-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sandals 3,sandals-3,2608,2981,High quality sandals for daily use.,15,images/sandals-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sandals 4,sandals-4,2630,3415,High quality sandals for daily use.,88,images/sandals-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sandals 5,sandals-5,1699,2069,High quality sandals for daily use.,65,images/sandals-5.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sandals 6,sandals-6,2784,3540,High quality sandals for daily use.,96,images/sandals-6.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sandals 7,sandals-7,3603,4090,High quality sandals for daily use.,94,images/sandals-7.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sandals 8,sandals-8,3837,4446,High quality sandals for daily use.,11,images/sandals-8.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sandals 9,sandals-9,1919,2137,High quality sandals for daily use.,85,images/sandals-9.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Sandals 10,sandals-10,1004,1262,High quality sandals for daily use.,15,images/sandals-10.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Boots 1,boots-1,3843,4487,High quality boots for daily use.,76,images/boots-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Boots 2,boots-2,2457,2657,High quality boots for daily use.,45,images/boots-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Boots 3,boots-3,3578,4201,High quality boots for daily use.,19,images/boots-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Boots 4,boots-4,4475,4904,High quality boots for daily use.,14,images/boots-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Boots 5,boots-5,3041,3795,High quality boots for daily use.,57,images/boots-5.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Boots 6,boots-6,1342,2130,High quality boots for daily use.,45,images/boots-6.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Boots 7,boots-7,3418,3945,High quality boots for daily use.,83,images/boots-7.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Boots 8,boots-8,2521,3078,High quality boots for daily use.,73,images/boots-8.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Boots 9,boots-9,4053,4518,High quality boots for daily use.,95,images/boots-9.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Boots 10,boots-10,4107,4533,High quality boots for daily use.,45,images/boots-10.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,3
Gaming Laptop 1,gaming-laptop-1,3357,3867,High quality gaming laptop for daily use.,65,images/gaming-laptop-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Gaming Laptop 2,gaming-laptop-2,1926,2339,High quality gaming laptop for daily use.,26,images/gaming-laptop-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Gaming Laptop 3,gaming-laptop-3,4022,4263,High quality gaming laptop for daily use.,86,images/gaming-laptop-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Gaming Laptop 4,gaming-laptop-4,4571,5023,High quality gaming laptop for daily use.,29,images/gaming-laptop-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Gaming Laptop 5,gaming-laptop-5,1646,1847,High quality gaming laptop for daily use.,68,images/gaming-laptop-5.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Gaming Laptop 6,gaming-laptop-6,2631,3384,High quality gaming laptop for daily use.,98,images/gaming-laptop-6.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Gaming Laptop 7,gaming-laptop-7,3313,3823,High quality gaming laptop for daily use.,54,images/gaming-laptop-7.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Gaming Laptop 8,gaming-laptop-8,3585,3850,High quality gaming laptop for daily use.,48,images/gaming-laptop-8.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Gaming Laptop 9,gaming-laptop-9,4026,4714,High quality gaming laptop for daily use.,94,images/gaming-laptop-9.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Gaming Laptop 10,gaming-laptop-10,4254,4769,High quality gaming laptop for daily use.,90,images/gaming-laptop-10.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Business Laptop 1,business-laptop-1,1614,2169,High quality business laptop for daily use.,51,images/business-laptop-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Business Laptop 2,business-laptop-2,2821,3218,High quality business laptop for daily use.,49,images/business-laptop-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Business Laptop 3,business-laptop-3,3139,3850,High quality business laptop for daily use.,24,images/business-laptop-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Business Laptop 4,business-laptop-4,2694,3089,High quality business laptop for daily use.,71,images/business-laptop-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Business Laptop 5,business-laptop-5,3721,4290,High quality business laptop for daily use.,62,images/business-laptop-5.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Business Laptop 6,business-laptop-6,1774,2452,High quality business laptop for daily use.,37,images/business-laptop-6.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Business Laptop 7,business-laptop-7,1359,1647,High quality business laptop for daily use.,39,images/business-laptop-7.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Business Laptop 8,business-laptop-8,3163,3701,High quality business laptop for daily use.,81,images/business-laptop-8.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Business Laptop 9,business-laptop-9,1640,1844,High quality business laptop for daily use.,76,images/business-laptop-9.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Business Laptop 10,business-laptop-10,3958,4499,High quality business laptop for daily use.,57,images/business-laptop-10.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Ultrabook 1,ultrabook-1,2940,3723,High quality ultrabook for daily use.,41,images/ultrabook-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Ultrabook 2,ultrabook-2,1415,2167,High quality ultrabook for daily use.,42,images/ultrabook-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Ultrabook 3,ultrabook-3,2471,2678,High quality ultrabook for daily use.,53,images/ultrabook-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Ultrabook 4,ultrabook-4,1894,2190,High quality ultrabook for daily use.,36,images/ultrabook-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Ultrabook 5,ultrabook-5,2091,2607,High quality ultrabook for daily use.,30,images/ultrabook-5.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Ultrabook 6,ultrabook-6,2685,3196,High quality ultrabook for daily use.,34,images/ultrabook-6.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Ultrabook 7,ultrabook-7,4679,5100,High quality ultrabook for daily use.,25,images/ultrabook-7.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Ultrabook 8,ultrabook-8,4774,5544,High quality ultrabook for daily use.,42,images/ultrabook-8.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Ultrabook 9,ultrabook-9,1975,2562,High quality ultrabook for daily use.,71,images/ultrabook-9.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
Ultrabook 10,ultrabook-10,2649,3099,High quality ultrabook for daily use.,41,images/ultrabook-10.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,4
DSLR 1,dslr-1,4346,5068,High quality dslr for daily use.,49,images/dslr-1.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,5
DSLR 2,dslr-2,2332,2557,High quality dslr for daily use.,94,images/dslr-2.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,5
DSLR 3,dslr-3,2694,3336,High quality dslr for daily use.,45,images/dslr-3.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,5
DSLR 4,dslr-4,1651,2082,High quality dslr for daily use.,24,images/dslr-4.jpg,2025-06-08 15:47:58,2025-06-08 15:47:58,5
